Table,Key,en,pt,es
MainMenu,mainmenu.gamemenu.save_info_not_found,"❌ No save file found\n\n🛏️ Sleep in a bed to save your progress automatically.\n\nThe game will create a save file when you go to sleep for the first time.","❌ Nenhum arquivo de save encontrado\n\n🛏️ Durma em uma cama para salvar seu progresso automaticamente.\n\nO jogo criará um arquivo de save quando você dormir pela primeira vez.","❌ No se encontró archivo de guardado\n\n🛏️ Duerme en una cama para guardar tu progreso automáticamente.\n\nEl juego creará un archivo de guardado la primera vez que duermas."
MainMenu,mainmenu.gamemenu.save_slot_title,Save Game — Choose Slot,Salvar Jogo — Escolha o Slot,Guardar partida — Elige ranura
MainMenu,mainmenu.gamemenu.load_slot_title,Load Game — Choose Slot,Carregar Jogo — Escolha o Slot,Cargar partida — Elige ranura
MainMenu,mainmenu.gamemenu.overwrite_confirm,Overwrite save in {0}?,Sobrescrever o save em {0}?,¿Sobrescribir guardado en {0}?
MainMenu,mainmenu.gamemenu.load_confirm,Load this save? Unsaved progress will be lost.,Carregar este save? O progresso não salvo será perdido.,¿Cargar esta partida? El progreso no guardado se perderá.
MainMenu,mainmenu.gamemenu.saved_to_slot,Saved to {0}!,Salvo em {0}!,¡Guardado en {0}!
MainMenu,mainmenu.gamemenu.confirm_quit_desktop,"Quit to Desktop?\n\nAny unsaved progress will be lost.\nMake sure to sleep in a bed to save!","Sair para a Área de Trabalho?\n\nQualquer progresso não salvo será perdido.\nCertifique-se de dormir em uma cama para salvar!","¿Salir al escritorio?\n\nSe perderá cualquier progreso no guardado.\n¡Asegúrate de dormir en una cama para guardar!"
MainMenu,mainmenu.gamemenu.confirm_quit_mainmenu,"Return to Main Menu?\n\nAny unsaved progress will be lost.\nMake sure to sleep in a bed to save!","Voltar ao Menu Principal?\n\nQualquer progresso não salvo será perdido.\nCertifique-se de dormir em uma cama para salvar!","¿Volver al menú principal?\n\nSe perderá cualquier progreso no guardado.\n¡Asegúrate de dormir en una cama para guardar!"
MainMenu,mainmenu.gamemenu.confirm_delete_save,"Delete Save File?\n\nThis action cannot be undone.\nAll your progress will be permanently lost!","Excluir Arquivo de Save?\n\nEsta ação não pode ser desfeita.\nTodo o seu progresso será perdido permanentemente!","¿Eliminar archivo de guardado?\n\nEsta acción no se puede deshacer.\n¡Todo tu progreso se perderá permanentemente!"
MainMenu,mainmenu.gamemenu.save_deleted,Save file deleted!,Arquivo de save excluído!,¡Archivo de guardado eliminado!
MainMenu,mainmenu.gamemenu.test_notification,Test notification message!,Mensagem de notificação de teste!,¡Mensaje de notificación de prueba!
MainMenu,mainmenu.gamemenu.test_error,Test error message!,Mensagem de erro de teste!,¡Mensaje de error de prueba!
MainMenu,mainmenu.quittomainmenu.confirm,"Return to Main Menu?\n\nAny unsaved progress will be lost.\nMake sure to save your game first!","Voltar ao Menu Principal?\n\nQualquer progresso não salvo será perdido.\nCertifique-se de salvar o jogo primeiro!","¿Volver al menú principal?\n\nSe perderá cualquier progreso no guardado.\n¡Asegúrate de guardar tu partida primero!"
MainMenu,mainmenu.savegameui.save_info_found,"Save File Information:\n\nFile: {0}\nCreated: {1}\nLast Modified: {2}\nSize: {3}\n\n💡 Game saves automatically when you sleep in bed","Informações do Arquivo de Save:\n\nArquivo: {0}\nCriado: {1}\nÚltima Modificação: {2}\nTamanho: {3}\n\n💡 O jogo salva automaticamente quando você dorme na cama","Información del archivo de guardado:\n\nArchivo: {0}\nCreado: {1}\nÚltima modificación: {2}\nTamaño: {3}\n\n💡 El juego se guarda automáticamente cuando duermes en la cama"
MainMenu,mainmenu.savegameui.save_info_not_found,"No save file found.\n\n🛏️ Sleep in a bed to save your progress automatically.\n\nThe game will create a save file when you go to sleep.","Nenhum arquivo de save encontrado.\n\n🛏️ Durma em uma cama para salvar seu progresso automaticamente.\n\nO jogo criará um arquivo de save quando você dormir.","No se encontró archivo de guardado.\n\n🛏️ Duerme en una cama para guardar tu progreso automáticamente.\n\nEl juego creará un archivo de guardado cuando duermas."
MainMenu,mainmenu.saveslotbutton.autosave,Auto Save,Save Automático,Guardado automático
MainMenu,mainmenu.saveslotbutton.slot_prefix,Slot ,Slot ,Ranura
MainMenu,mainmenu.saveslotbutton.day_label,"Day {0} — {1}, Year {2}","Dia {0} — {1}, Ano {2}","Día {0} — {1}, Año {2}"
MainMenu,mainmenu.saveslotbutton.money_label,${0},${0},${0}
Inventory,inventory.title,Inventory,Inventário,Inventario
Inventory,inventory.sort_label,Sort: {0},Ordenar: {0},Ordenar: {0}
Inventory,inventory.count_fraction,{0}/{1},{0}/{1},{0}/{1}
Inventory,inventory.tooltip.italic_text,<i>{0}</i>,<i>{0}</i>,<i>{0}</i>
Inventory,inventory.tooltip.value_coins,<color=#FFD700>Value: {0} coins</color>,<color=#FFD700>Valor: {0} moedas</color>,<color=#FFD700>Valor: {0} monedas</color>
Inventory,inventory.tooltip.cannot_be_sold,<color=#888888>Cannot be sold</color>,<color=#888888>Não pode ser vendido</color>,<color=#888888>No se puede vender</color>
Inventory,inventory.tooltip.max_stack,<color=#AAAAAA>Max Stack: {0}</color>,<color=#AAAAAA>Pilha Máxima: {0}</color>,<color=#AAAAAA>Pila Máxima: {0}</color>
Inventory,inventory.tooltip.consumable,<color=#90EE90>Consumable</color>,<color=#90EE90>Consumível</color>,<color=#90EE90>Consumible</color>
Inventory,inventory.tooltip.energy,"  <color=#FFD700>+{0} Energy</color>","  <color=#FFD700>+{0} Energia</color>","  <color=#FFD700>+{0} Energía</color>"
Inventory,inventory.tooltip.health,"  <color=#FF6B6B>+{0} Health</color>","  <color=#FF6B6B>+{0} Vida</color>","  <color=#FF6B6B>+{0} Vida</color>"
Inventory,inventory.tooltip.tool_level,<color=#87CEEB>Tool Level: {0}</color>,<color=#87CEEB>Nível da Ferramenta: {0}</color>,<color=#87CEEB>Nivel de Herramienta: {0}</color>
Inventory,inventory.tooltip.durability,<color=#FFA500>Durability: {0}</color>,<color=#FFA500>Durabilidade: {0}</color>,<color=#FFA500>Durabilidad: {0}</color>
Inventory,inventory.tooltip.unbreakable,<color=#90EE90>Unbreakable</color>,<color=#90EE90>Inquebrável</color>,<color=#90EE90>Indestructible</color>
Inventory,inventory.tooltip.description,<size=11><color=#888888>{0}</color></size>,<size=11><color=#888888>{0}</color></size>,<size=11><color=#888888>{0}</color></size>
Inventory,item.CabbageSeed.name,Cabbage Seeds,Sementes de Repolho,Semillas de Repollo
Inventory,item.CarrotSeed.name,Carrot Seeds,Sementes de Cenoura,Semillas de Zanahoria
Inventory,item.MysterySeed.name,Mystery Seed,Semente Misteriosa,Semilla Misteriosa
Inventory,item.PumpkinSeed.name,Pumpkin Seeds,Sementes de Abóbora,Semillas de Calabaza
Inventory,item.RadishSeed.name,Radish Seeds,Sementes de Rabanete,Semillas de Rábano
Inventory,item.TomatoSeed.name,Tomato Seeds,Sementes de Tomate,Semillas de Tomate
Inventory,item.Apple.name,Apple,Maçã,Manzana
Inventory,item.Cabbage.name,Cabbage,Repolho,Repollo
Inventory,item.Carrot.name,Carrot,Cenoura,Zanahoria
Inventory,item.Pumpkin.name,Pumpkin,Abóbora,Calabaza
Inventory,item.Radish.name,Radish,Rabanete,Rábano
Inventory,item.Tomato.name,Tomato,Tomate,Tomate
Inventory,item.Banana.name,Banana,Banana,Plátano
Inventory,item.Bread.name,Bread,Pão,Pan
Inventory,item.DuckEgg.name,Duck Egg,Ovo de Pata,Huevo de Pata
Inventory,item.Egg.name,Egg,Ovo,Huevo
Inventory,item.Feather.name,Feather,Pena,Pluma
Inventory,item.Hoe.name,Hoe,Enxada,Azada
Inventory,item.Shovel.name,Shovel,Pá,Pala
Inventory,item.WateringCan.name,Watering Can,Regador,Regadera
Animals,animals.info.daily_food_header,Daily Food Needs:\n,Necessidades de Alimentação Diárias:\n,Necesidades de alimentación diarias:\n
Animals,animals.info.food_line,"• {0}x {1}\n","• {0}x {1}\n","• {0}x {1}\n"
Animals,animals.info.no_special_food,No special food needed,Nenhum alimento especial necessário,No necesita alimento especial
Animals,animals.info.status_header,Status:\n,Status:\n,Estado:\n
Animals,animals.info.status_ill,"• ILL — use {0} to cure\n","• DOENTE — use {0} para curar\n","• ENFERMO — usa {0} para curar\n"
Animals,animals.info.status_happy,"• Happy (Petted today)\n","• Feliz (Acariciado hoje)\n","• Feliz (Acariciado hoy)\n"
Animals,animals.info.status_well_fed,"• Well Fed\n","• Bem Alimentado\n","• Bien Alimentado\n"
Animals,animals.info.status_hungry,"• Hungry\n","• Com Fome\n","• Hambriento\n"
Animals,animals.info.fed_today,Fed Today: {0}/{1},Alimentado Hoje: {0}/{1},Alimentado Hoy: {0}/{1}
Animals,animals.info.happiness,Happiness: {0:F0}/100,Felicidade: {0:F0}/100,Felicidad: {0:F0}/100
Animals,animals.info.stat_multiplier,Stat Multiplier: {0:F2}x,Multiplicador de Status: {0:F2}x,Multiplicador de Estadística: {0:F2}x
Animals,animals.info.no_production,No production,Sem produção,Sin producción
Animals,animals.info.produces,"Produces: {0}\n","Produz: {0}\n","Produce: {0}\n"
Animals,animals.market.title,Animal Market,Mercado de Animais,Mercado de Animales
Animals,animals.market.buy_price,{0}g,{0}g,{0}g
Animals,animals.market.sell_price,+{0}g,+{0}g,+{0}g
Animals,animals.market.unassigned,Unassigned,Não atribuído,Sin asignar
Animals,animals.market.not_enough_gold,Not enough gold.,Ouro insuficiente.,Oro insuficiente.
Animals,animals.market.zones_full,All zones are full! Build a Barn or free up space.,Todas as zonas estão cheias! Construa um Celeiro ou libere espaço.,¡Todas las zonas están llenas! Construye un Granero o libera espacio.
Animals,animals.market.welcome,"Welcome, {0}!","Bem-vindo(a), {0}!","¡Bienvenido(a), {0}!"
Animals,animals.market.sell_confirm,Sell {0}?,Vender {0}?,¿Vender {0}?
Animals,animals.market.sell_gold_gain,+{0} gold,+{0} ouro,+{0} oro
Animals,animals.market.sale_failed,Sale failed — missing references.,Falha na venda — referências ausentes.,Venta fallida — referencias faltantes.
Animals,animals.market.sold,Sold {0}.,{0} vendido.,{0} vendido.
Animals,animals.market.friendship_discount,Friendship Discount: {0}% off,Desconto de Amizade: {0}% off,Descuento de Amistad: {0}% de descuento
Animals,animals.market.gold_label,Gold: {0},Ouro: {0},Oro: {0}
Animals,animals.roster.group_header,{0} ({1} animals),{0} ({1} animais),{0} ({1} animales)
Animals,animals.roster.mood_happy,☺,☺,☺
Animals,animals.roster.mood_neutral,•,•,•
Animals,animals.roster.mood_sad,☹,☹,☹
Animals,animals.roster.hungry,Hungry,Com Fome,Hambriento
Animals,animals.roster.fed,Fed,Alimentado,Alimentado
Animals,animals.roster.row_status,"{0} {1:F0}%  |  {2}","{0} {1:F0}%  |  {2}","{0} {1:F0}%  |  {2}"
Animals,animals.roster.title,Animal Roster — {0} Animal{1},Lista de Animais — {0} Animal{1},Lista de Animales — {0} Animal{1}
Animals,animals.roster.empty,No animals registered yet.,Nenhum animal registrado ainda.,Aún no hay animales registrados.
Animals,animals.roster.avg_happiness,"Avg Happiness: {0:F0}  |  Hungry: {1}/{2}","Felicidade Média: {0:F0}  |  Com Fome: {1}/{2}","Felicidad Promedio: {0:F0}  |  Hambrientos: {1}/{2}"
Animals,animals.skill.requires,Requires: ,Requer: ,Requiere:
Animals,animals.skill.and,  AND  ,  E  ,  Y
Animals,animals.skill.full_info_header,"<b>{0}</b> ({1})\n","<b>{0}</b> ({1})\n","<b>{0}</b> ({1})\n"
Animals,animals.skill.full_info_desc,"{0}\n\n","{0}\n\n","{0}\n\n"
Animals,animals.skill.full_info_unlock,Unlock: {0},Desbloqueio: {0},Desbloqueo: {0}
Animals,animals.trough.title,Feeding Trough,Comedouro,Comedero
Animals,animals.trough.status,"Food stored: {0} items\nCan feed: {1}/{2} animals tomorrow","Comida armazenada: {0} itens\nPode alimentar: {1}/{2} animais amanhã","Comida almacenada: {0} artículos\nPuede alimentar: {1}/{2} animales mañana"
Animals,animal.Chicken.name,Chicken,Galinha,Gallina
Animals,animal.Duck.name,Duck,Pato,Pato
Animals,animal.Sparrow.name,Sparrow,Pardal,Gorrión
Combat,combat.selection.happiness,Happiness: {0:F0}%,Felicidade: {0:F0}%,Felicidad: {0:F0}%
Combat,combat.selection.fed,Fed,Alimentado,Alimentado
Combat,combat.selection.no_food_needed,No food needed,Nenhum alimento necessário,No necesita alimento
Combat,combat.selection.needs,Needs: ,Precisa: ,Necesita:
Combat,combat.selection.food_line,"{0}x {1} ","{0}x {1} ","{0}x {1} "
Combat,combat.hud.combo,Combo x{0}!,Combo x{0}!,¡Combo x{0}!
Combat,combat.results.victory,*** VICTORY! ***,*** VITÓRIA! ***,*** ¡VICTORIA! ***
Combat,combat.results.defeat,-- DEFEAT --,-- DERROTA --,-- DERROTA --
Combat,combat.results.draw,⏱️ DRAW ⏱️,⏱️ EMPATE ⏱️,⏱️ EMPATE ⏱️
Combat,combat.results.turn_limit,"\n\nTurn limit reached!","\n\nLimite de turnos atingido!","\n\n¡Límite de turnos alcanzado!"
Combat,combat.results.partial_rewards,"Partial Rewards:\nGold: 50\nXP: 25 (all units)","Recompensas Parciais:\nOuro: 50\nXP: 25 (todas as unidades)","Recompensas Parciales:\nOro: 50\nXP: 25 (todas las unidades)"
Combat,combat.results.stats,"<b>Battle Statistics</b>\n\nTurns: {0}\nYour Survivors: {1}\nEnemy Survivors: {2}\n","<b>Estatísticas da Batalha</b>\n\nTurnos: {0}\nSeus Sobreviventes: {1}\nSobreviventes Inimigos: {2}\n","<b>Estadísticas de la Batalla</b>\n\nTurnos: {0}\nTus Sobrevivientes: {1}\nSobrevivientes Enemigos: {2}\n"
Combat,combat.results.no_rewards,No rewards.,Sem recompensas.,Sin recompensas.
Combat,combat.results.rewards_header,"<b>Rewards</b>\n\n","<b>Recompensas</b>\n\n","<b>Recompensas</b>\n\n"
Combat,combat.results.gold,Gold: {0},Ouro: {0},Oro: {0}
Combat,combat.results.xp,XP: +{0} (surviving units),XP: +{0} (unidades sobreviventes),XP: +{0} (unidades sobrevivientes)
Combat,combat.results.item_reward,{0} x{1},{0} x{1},{0} x{1}
Combat,combat.results.animal_happiness,Animal Happiness: +{0},Felicidade Animal: +{0},Felicidad Animal: +{0}
Combat,combat.status.stun,STN,ATD,ATD
Combat,combat.status.shield,SHD,ESC,ESC
Combat,combat.status.burn,BRN,QMD,QMD
Combat,combat.status.poison,PSN,VNN,VNN
Combat,combat.status.weakness,WKN,FRQ,DBL
Combat,combat.status.turn_counter,Turn: {0}/{1},Turno: {0}/{1},Turno: {0}/{1}
Combat,combat.status.your_team,Your Team: {0}/{1},Seu Time: {0}/{1},Tu Equipo: {0}/{1}
Combat,combat.status.enemies,Enemies: {0}/{1},Inimigos: {0}/{1},Enemigos: {0}/{1}
Combat,combat.consumables.title,Items,Itens,Objetos
Combat,combat.consumables.no_inventory,No inventory found,Inventário não encontrado,Inventario no encontrado
Combat,combat.consumables.none,No consumables,Nenhum consumível,Sin consumibles
Combat,combat.consumables.item_row,{0} x{1} (+{2} HP),{0} x{1} (+{2} PV),{0} x{1} (+{2} PV)
Combat,combat.grid.position_label,"({0},{1})","({0},{1})","({0},{1})"
Combat,combat.teamassembler.zone_label,Zone: {0},Zona: {0},Zona: {0}
Combat,combat.teamassembler.team_count,Team: {0}/15,Time: {0}/15,Equipo: {0}/15
Combat,combat.teamassembler.all_fed,All animals fed!,Todos os animais alimentados!,¡Todos los animales alimentados!
Combat,combat.teamassembler.required_food_header,"Required Food:\n","Comida Necessária:\n","Comida Necesaria:\n"
Combat,combat.teamassembler.food_line,"• {0}x {1}\n","• {0}x {1}\n","• {0}x {1}\n"
Combat,combat.teamassembler.synergies_header,"Synergies:\n","Sinergias:\n","Sinergias:\n"
Combat,combat.teamassembler.synergy_line,"• {0}x {1} (Stack Bonus)\n","• {0}x {1} (Bônus de Pilha)\n","• {0}x {1} (Bono de Pila)\n"
Combat,combat.teamassembler.no_synergies,No active synergies,Nenhuma sinergia ativa,Sin sinergias activas
Combat,combat.teamassemblersetup.available_animals,Available Animals,Animais Disponíveis,Animales Disponibles
Combat,combat.healthbar.fraction,{0}/{1},{0}/{1},{0}/{1}
Combat,enemy.CaveBat.name,Cave Bat,Morcego da Caverna,Murciélago de Cueva
Combat,enemy.CaveTroll.name,Cave Troll,Troll da Caverna,Trol de Cueva
Combat,enemy.CrystalBeetle.name,Crystal Beetle,Besouro de Cristal,Escarabajo de Cristal
Combat,enemy.DarkSpider.name,Dark Spider,Aranha Sombria,Araña Oscura
Combat,enemy.MushroomSpore.name,Mushroom Spore,Esporo de Cogumelo,Espora de Hongo
Combat,enemy.ShadowStalker.name,Shadow Stalker,Perseguidor das Sombras,Acechador de las Sombras
Combat,enemy.StoneGolem.name,Stone Golem,Golem de Pedra,Gólem de Piedra
Combat,enemy.AncientWolf.name,Ancient Wolf,Lobo Ancestral,Lobo Ancestral
Combat,enemy.ForestBoar.name,Forest Boar,Javali da Floresta,Jabalí del Bosque
Combat,enemy.GreatOwl.name,Great Owl,Grande Coruja,Gran Búho
Combat,enemy.HowlingWolf.name,Howling Wolf,Lobo Uivante,Lobo Aullador
Combat,enemy.PoisonFrog.name,Poison Frog,Sapo Venenoso,Rana Venenosa
Combat,enemy.Treant.name,Treant,Treant,Treant
Combat,enemy.VineSprite.name,Vine Sprite,Espírito de Trepadeira,Espíritu de Enredadera
Combat,enemy.Crow.name,Crow,Corvo,Cuervo
Combat,enemy.FieldRat.name,Field Rat,Rato do Campo,Rata de Campo
Combat,enemy.GiantSlime.name,Giant Slime,Gosma Gigante,Limo Gigante
Combat,enemy.HoneyBee.name,Honey Bee,Abelha,Abeja
Combat,enemy.MeadowWolf.name,Meadow Wolf,Lobo da Pradaria,Lobo de la Pradera
Combat,enemy.Slime.name,Slime,Gosma,Limo
Combat,enemy.StoneYeti.name,Stone Yeti,Yeti de Pedra,Yeti de Piedra
Combat,enemy.FrostGolem.name,Frost Golem,Golem de Gelo,Gólem de Escarcha
Combat,enemy.SnowWolf.name,Snow Wolf,Lobo da Neve,Lobo de Nieve
Combat,enemy.IronGolem.name,Iron Golem,Golem de Ferro,Gólem de Hierro
Combat,enemy.MountainTitan.name,Mountain Titan,Titã da Montanha,Titán de la Montaña
Combat,enemy.MountainBandit.name,Mountain Bandit,Bandido da Montanha,Bandido de la Montaña
Combat,enemy.IceElemental.name,Ice Elemental,Elemental de Gelo,Elemental de Hielo
Combat,enemy.InfernalDemon.name,Infernal Demon,Demônio Infernal,Demonio Infernal
Combat,enemy.LavaKnight.name,Lava Knight,Cavaleiro de Lava,Caballero de Lava
Combat,enemy.LordOfAshes.name,Lord of Ashes,Senhor das Cinzas,Señor de las Cenizas
Combat,enemy.MagmaLizard.name,Magma Lizard,Lagarto de Magma,Lagarto de Magma
Combat,enemy.FireSlime.name,Fire Slime,Gosma de Fogo,Limo de Fuego
Combat,enemy.ObsidianGolem.name,Obsidian Golem,Golem de Obsidiana,Gólem de Obsidiana
Combat,enemy.FlameColossus.name,Flame Colossus,Colosso de Chamas,Coloso de Llamas
Combat,combat.modifier.None.description,A normal battle.,Uma batalha normal.,Una batalla normal.
Combat,combat.modifier.DoubleSpeed.description,Turn gauges fill twice as fast!,Os medidores de turno enchem duas vezes mais rápido!,¡Los medidores de turno se llenan el doble de rápido!
Combat,combat.modifier.LowVisibility.description,Reduced accuracy for all combatants.,Precisão reduzida para todos os combatentes.,Precisión reducida para todos los combatientes.
Combat,combat.modifier.HealingRain.description,All units heal a little each round.,Todas as unidades curam um pouco a cada rodada.,Todas las unidades se curan un poco cada ronda.
Combat,combat.modifier.GlassCannon.description,Damage dealt and received is doubled!,O dano causado e recebido é dobrado!,¡El daño causado y recibido se duplica!
Combat,stage.SunnyFields.name,Sunny Fields,Campos Ensolarados,Campos Soleados
Combat,stage.SunnyFields.description,A gentle breeze sweeps through the golden grass. A perfect place to begin your journey.,Uma brisa suave passa pela grama dourada. Um lugar perfeito para começar sua jornada.,Una suave brisa recorre la hierba dorada. Un lugar perfecto para comenzar tu viaje.
Combat,stage.FlowerGarden.name,Flower Garden,Jardim de Flores,Jardín de Flores
Combat,stage.FlowerGarden.description,Colourful flowers hide small but persistent pests.,Flores coloridas escondem pragas pequenas mas persistentes.,Las flores coloridas esconden plagas pequeñas pero persistentes.
Combat,stage.RollingHills.name,Rolling Hills,Colinas Ondulantes,Colinas Onduladas
Combat,stage.RollingHills.description,Speed is everything on open ground.,Velocidade é tudo em terreno aberto.,La velocidad lo es todo en terreno abierto.
Combat,stage.WindPrairie.name,Wind Prairie,Pradaria dos Ventos,Pradera del Viento
Combat,stage.WindPrairie.description,The Giant Slime patrols these plains. It hits harder than it looks.,A Gosma Gigante patrulha estas planícies. Ela bate mais forte do que parece.,El Limo Gigante patrulla estas llanuras. Golpea más fuerte de lo que parece.
Combat,stage.PeacefulPastureBoss.name,Peaceful Pasture — Boss,Pasto Tranquilo — Chefe,Pastizal Tranquilo — Jefe
Combat,stage.PeacefulPastureBoss.description,[BOSS] The Meadow Wolf guards the path to the forest. Defeat it to move on.,[CHEFE] O Lobo da Pradaria guarda o caminho para a floresta. Derrote-o para avançar.,[JEFE] El Lobo de la Pradera guarda el camino al bosque. Derrótalo para avanzar.
Combat,stage.WhisperingWoods.name,Whispering Woods,Bosque Sussurrante,Bosque Susurrante
Combat,stage.WhisperingWoods.description,The trees close in. Strange sounds echo from the canopy.,As árvores se fecham ao redor. Sons estranhos ecoam da copa.,Los árboles se cierran alrededor. Sonidos extraños resuenan desde el follaje.
Combat,stage.DarkGrove.name,Dark Grove,Bosque Sombrio,Arboleda Oscura
Combat,stage.DarkGrove.description,Poison Frogs lurk beneath the undergrowth.,Sapos Venenosos se escondem sob a vegetação rasteira.,Ranas Venenosas se esconden bajo la maleza.
Combat,stage.AncientForest.name,Ancient Forest,Floresta Ancestral,Bosque Ancestral
Combat,stage.AncientForest.description,The howling grows louder. Wolves hunt in packs here.,O uivo se intensifica. Lobos caçam em bandos aqui.,El aullido se intensifica. Los lobos cazan en manadas aquí.
Combat,stage.TwilightGlade.name,Twilight Glade,Clareira do Crepúsculo,Claro del Crepúsculo
Combat,stage.TwilightGlade.description,A Great Owl watches from above. The Treant stirs.,Uma Grande Coruja observa do alto. O Treant se agita.,Un Gran Búho observa desde arriba. El Treant se agita.
Combat,stage.MossyHollowBoss.name,Mossy Hollow — Boss,Vale Musgoso — Chefe,Hueco Musgoso — Jefe
Combat,stage.MossyHollowBoss.description,[BOSS] The Ancient Wolf rules this forest. Its pack defends it fiercely.,[CHEFE] O Lobo Ancestral domina esta floresta. Sua matilha o defende ferozmente.,[JEFE] El Lobo Ancestral domina este bosque. Su manada lo defiende ferozmente.
Combat,stage.CrystalCavern.name,Crystal Cavern,Caverna de Cristal,Caverna de Cristal
Combat,stage.CrystalCavern.description,The crystals glow faintly. Bats dive from the ceiling.,Os cristais brilham fracamente. Morcegos mergulham do teto.,Los cristales brillan tenuemente. Los murciélagos se lanzan desde el techo.
Combat,stage.ShadowDepths.name,Shadow Depths,Profundezas Sombrias,Profundidades Sombrías
Combat,stage.ShadowDepths.description,Dark Spiders spin webs across every passage.,Aranhas Sombrias tecem teias em todas as passagens.,Las Arañas Oscuras tejen telarañas en cada pasaje.
Combat,stage.EchoChamber.name,Echo Chamber,Câmara do Eco,Cámara del Eco
Combat,stage.EchoChamber.description,The Stone Golem barely moves, but it barely flinches either.,O Golem de Pedra quase não se move, mas também quase não vacila.,El Gólem de Piedra apenas se mueve, pero tampoco se inmuta.
Combat,stage.UndergroundLake.name,Underground Lake,Lago Subterrâneo,Lago Subterráneo
Combat,stage.UndergroundLake.description,Something fast moves in the shadows. Don't let it reach your back line.,Algo rápido se move nas sombras. Não deixe que alcance sua linha de trás.,Algo rápido se mueve en las sombras. No dejes que llegue a tu línea trasera.
Combat,stage.StalactiteHallBoss.name,Stalactite Hall — Boss,Salão das Estalactites — Chefe,Salón de Estalactitas — Jefe
Combat,stage.StalactiteHallBoss.description,[BOSS] The Cave Troll fills the entire chamber. Tanky AND aggressive.,[CHEFE] O Troll da Caverna enche toda a câmara. Resistente E agressivo.,[JEFE] El Trol de Cueva llena toda la cámara. Resistente Y agresivo.
Combat,stage.RockyPeak.name,Rocky Peak,Pico Rochoso,Pico Rocoso
Combat,stage.RockyPeak.description,Rock Hounds patrol the lower paths. Stronger than forest wolves.,Cães de Pedra patrulham os caminhos inferiores. Mais fortes que os lobos da floresta.,Los Sabuesos de Roca patrullan los senderos bajos. Más fuertes que los lobos del bosque.
Combat,stage.EaglesNest.name,Eagle's Nest,Ninho da Águia,Nido del Águila
Combat,stage.EaglesNest.description,Harpies and Thunder Eagles dive from the peaks.,Harpias e Águias do Trovão mergulham dos picos.,Las Arpías y Águilas del Trueno se lanzan desde los picos.
Combat,stage.StoneGiantPass.name,Stone Giant Pass,Passagem do Gigante de Pedra,Paso del Gigante de Piedra
Combat,stage.StoneGiantPass.description,Armored Bears and Iron Golems block the mountain pass.,Ursos Blindados e Golens de Ferro bloqueiam a passagem da montanha.,Osos Acorazados y Gólems de Hierro bloquean el paso de la montaña.
